LP,LC,LEX
2.827250671,2.962692419,-0.5212312921
2.821188899,2.993229143,-0.5451690834
2.815090157,3.085115835,-0.5438347806
2.799678563,3.093312602,-0.5758827683
2.730005981,2.923161581,-0.6020182391
2.645495526,2.925846146,-0.5948174551
2.694411516,2.920469789,-0.5755453702
2.755236017,2.856470206,-0.5445311602
2.726697942,2.949688335,-0.5639492413
2.767616274,2.983153491,-0.5938239547
2.805897456,3.06105174,-0.6182080896
2.72947854,3.015534901,-0.6515957625
2.677035162,2.990719732,-0.6633063404
2.664668788,3.003204288,-0.6183697625
2.767081564,3.008154794,-0.5054311004
2.786153222,2.945491057,-0.4236324189
2.761718687,2.903616985,-0.4405748238
2.762793565,2.863913699,-0.426900386
2.799186628,2.930126516,-0.3636704124
2.758495193,2.970927155,-0.3801473056
2.778343409,2.926382195,-0.436446849
2.788865115,2.946542029,-0.4370283785
2.819781867,2.901970894,-0.4120434178
2.779400575,2.839078464,-0.4029953904
2.75804194,2.800325477,-0.3995141055
2.767709818,2.786861382,-0.4227154687
2.737870623,2.824350657,-0.4079287353
2.741169414,2.749192144,-0.3924474171
2.662518552,2.615934912,-0.3990445342
2.645752194,2.687847494,-0.4013901471
2.670208395,2.729811693,-0.3919745217
2.659545102,2.61958322,-0.3999164106
2.698673039,2.681706226,-0.3945389664
2.716834204,2.827313622,-0.4073965822
2.742376249,2.796061078,-0.4221255457
2.729131388,2.881443127,-0.4358649771
2.804546009,2.878636502,-0.433534128
2.76941881,2.772588722,-0.4479497184
2.751653007,2.824350657,-0.4735598009
2.545414452,2.890371758,-0.4628531271
2.665423979,2.775085602,-0.444365263
2.650871762,2.79971739,-0.4540647704
2.619753666,2.843745917,-0.452348687
2.643031186,2.85532012,-0.4703160781
2.708078569,2.930660277,-0.474617971
2.726628327,2.960623096,-0.4617194143
2.72383978,2.892591515,-0.466811035
2.731628199,2.793003907,-0.4670618007
2.710911352,2.794839331,-0.4498646977
2.662221605,2.807593831,-0.4436596512
2.632684483,2.76757618,-0.4560948543
2.58099452,2.816007343,-0.4461590952
2.602784244,2.876948738,-0.4316525403
2.611570543,3.001217204,-0.4256598155
2.460061543,2.834389123,-0.4294420155
2.427547966,2.960105096,-0.4233705175
2.50484833,3.078233495,-0.4150853546
2.499969932,2.998229154,-0.4155474445
2.454228072,2.910174385,-0.4329505715
2.443197737,3.012589391,-0.4407678928
2.582406564,2.989714201,-0.4383839618
2.676288691,3.142426653,-0.4444934934
2.714779283,3.18345588,-0.4613412244
2.723137702,3.091042453,-0.5083826436
2.69267012,3.231989464,-0.5096449211
2.641243388,3.21164978,-0.5060341711
2.640029501,3.091951131,-0.4852616348
2.564359986,2.982647034,-0.4739334047
2.587027882,2.835563521,-0.4882732185
2.607312553,2.884800713,-0.4906637309
2.636988321,2.851284369,-0.4974971932
2.577983519,2.90526037,-0.5129433813
2.643152277,2.965273066,-0.4721263767
2.68871555,2.913979772,-0.4709406922
2.657577772,3.034952987,-0.4903575807
2.645571024,2.956991445,-0.5241366402
2.629743575,2.888703701,-0.5066368589
2.613661582,2.71866038,-0.4918262765
2.589043012,2.725235026,-0.4951229749
2.406634537,2.578700529,-0.5080216918
2.512846018,2.597491011,-0.5147977188
2.514912917,2.654649424,-0.4926209228
2.501052202,2.693274916,-0.5011994379
2.512156101,2.493205453,-0.4969498064
2.519719134,2.511223958,-0.4898062533
2.486288673,2.585505848,-0.5201024541
2.47058472,2.633326655,-0.5278007223
2.437673783,2.463001814,-0.5080216918
2.370005097,2.303584593,-0.5131229773
2.300838888,2.451005098,-0.5013205901
2.315228235,2.336019869,-0.4871065418
2.403069484,2.436241478,-0.4836599579
2.592137755,2.688527535,-0.4765446874
2.578022289,2.790551423,-0.4795826095
2.559105803,2.744060639,-0.4668737325
2.619164729,2.909084467,-0.4540647704
2.708106937,3.011605623,-0.4745557504
2.72442602,3.063390922,-0.4850769511
2.981514659,3.124565145,-0.5051294279
2.953501929,3.143289838,-0.483289967
2.982808697,3.28765534,-0.4782197856
2.975019232,3.15912582,-0.4948181793
2.971101627,3.336836623,-0.4698786291
3.040504244,3.414771502,-0.4575514168
3.043681152,3.138966442,-0.4597638829
3.026911328,3.251923679,-0.4104526452
3.190187367,3.360375387,-0.411380912
3.204794163,3.429460847,-0.4113146282
3.099296496,3.371768571,-0.3994470381
3.0931389,3.621135802,-0.3615132152
3.068517943,3.400530493,-0.3723218929
3.139160014,3.447762851,-0.3545927846
3.065347646,3.340739413,-0.3801473056
2.947536082,3.210440346,-0.3899453008
2.937663558,3.358289881,-0.3735615521
2.729339696,3.26499576,-0.3683860954
2.752942174,3.206398303,-0.3611648514
2.845898429,3.326114576,-0.3548031968
3.006751129,3.358985533,-0.33747174
3.019968114,3.269568939,-0.3463518396
2.973638939,3.242592351,-0.3622096034
2.957853638,3.297687005,-0.3808308338
2.923687637,3.033028058,-0.3727352806
2.821201566,2.932259851,-0.3617221884
2.755231507,2.900322089,-0.3652679151
